"Week_ending_Friday","Week_number","Status","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2013-04-12,"2013w15","Final",102.6,0.85226,120.385797761247,95.4005852303705,0.9345,18.592259913999,18.967259913999,122.63889942666,147.328571428571,142.540659340659,27.2383141962898,24.9913645444678,89.7930774554885,0.8085,26.8897754419494,88.0187754419494,117.327669612996,211.328571428571,206.154945054945,27.5345921575072,22.5838195308781,126.802301242236
2013-04-19,"2013w16","Final",97.64,0.84776,115.174105879022,91.0406798945202,0.9345,17.9959866220736,18.3709866220736,118.663744147157,142.757142857143,137.969230769231,27.623064252637,25.0286328983994,86.7792212246908,0.8085,26.2189679885332,87.3479679885332,112.855619923555,206.185714285714,201.012087912088,26.0763986988639,22.6462454897548,122.827145962733
2013-04-26,"2013w17","Final",99.69,0.844425,118.056665778488,92.1352760090129,0.9345,17.8841853798376,18.2591853798376,117.91840253225,141.9,137.112087912088,25.7831265232375,25.0659012523311,88.7145737392336,0.8085,26.0512661251792,87.1802661251792,111.737607501194,204.9,199.726373626374,23.0230337619609,22.7086714486315,122.081804347826
2013-05-03,"2013w18","Final",100.36,0.85274,117.691207167484,91.4605150665945,0.9345,17.8841853798376,18.2591853798376,117.91840253225,141.9,137.112087912088,26.4578874656558,25.1031696062627,87.8360824097976,0.8085,26.0512661251792,87.1802661251792,111.737607501194,204.9,199.726373626374,23.9015250913969,22.7710974075082,122.081804347826
2013-05-10,"2013w19","Final",101.15,0.84746,119.356665801336,93.6772987625772,0.9345,17.8841853798376,18.2591853798376,117.91840253225,141.9,137.112087912088,24.2411037696732,25.1404379601943,89.9469215535633,0.8085,26.0512661251792,87.1802661251792,111.737607501194,204.9,199.726373626374,21.7906859476311,22.8335233663849,122.081804347826
2013-05-17,"2013w20","Final",100.31,0.8232,121.853741496599,96.0393505962172,0.9345,18.1077878643096,18.4827878643096,119.409085762064,143.614285714286,138.826373626374,23.3697351658468,25.1950766528218,92.7044032690717,0.8085,26.2748686096512,87.4038686096512,113.228290731008,206.614285714286,201.440659340659,20.5238874619365,22.8864540438705,123.57248757764
2013-05-24,"2013w21","Final",100.59,0.81164,123.934256566951,97.4058618635046,0.9345,18.4059245102723,18.7809245102723,121.396663401816,145.9,141.112087912088,23.990801538311,25.2497153454492,94.5969921036343,0.8085,26.573005255614,87.702005255614,115.21586837076,208.9,203.726373626374,20.6188762671254,22.9393847213561,125.560065217391
2013-05-31,"2013w22","Final",99.79,0.80858,123.413886071879,96.9848912040801,0.9345,18.4059245102723,18.7809245102723,121.396663401816,145.9,141.112087912088,24.4117721977355,25.3043540380766,95.5384368799679,0.8085,26.796607740086,87.925607740086,116.706551600573,210.614285714286,205.440659340659,21.1681147206054,22.9923153988417,125.560065217391
2013-06-07,"2013w23","Final",100.23,0.80185,124.998441104945,97.3861491007258,0.9345,18.4059245102723,18.7809245102723,121.396663401816,145.9,141.112087912088,24.0105143010897,25.3589927307041,97.2491890301009,0.8085,26.96430960344,88.09330960344,117.824564022934,211.9,206.726373626374,20.5753749928327,23.0452460763273,125.560065217391
2013-06-14,"2013w24","Final",101.1,0.79352,127.406996673052,100.513067138904,0.9345,18.9276636407071,19.3026636407071,124.874924271381,149.9,145.112087912088,24.3618571324768,25.4136314233315,99.3870299445243,0.8085,27.4860487338748,88.6150487338748,121.302824892499,215.9,210.726373626374,21.9157949479745,23.0981767538129,129.038326086957
